video_id,video_title,publish_time,viewCount,likeCount,commentCount,duration
OIpgrZ8yS-Q,The secret to effective nonviolent resistance | Jamila Raqib,2016-07-07,139032,4311,251,0 days 00:08:58
Rcm3rPz_Q94,"The real reason why mosquitoes buzz | DIY Neuroscience, a TED series",2018-09-15,193359,3678,341,0 days 00:04:47
6qqqVwM6bMM,Bunker Roy: Learning from a barefoot movement,2011-10-17,484859,6407,313,0 days 00:19:08
ZcrnN-A2c60,Inside the massive (and unregulated) world of surveillance tech | Sharon Weinberger,2020-12-28,103916,3756,330,0 days 00:11:24
zpn6MCmoK0g,An ode to living on Earth | Oliver Jeffers,2020-04-22,104926,4489,184,0 days 00:10:47
9uOMectkCCs,The first secret of great design | Tony Fadell,2015-06-03,1610942,35460,729,0 days 00:16:42
7LPJrzZaoZg,This scientist makes ears out of apples | Andrew Pelling,2016-07-08,124045,2619,131,0 days 00:07:06
mT4Qbp89nIQ,The surprising solution to ocean plastic | David Katz,2018-02-16,693874,16206,1365,0 days 00:11:54
2t13Rq4oc7A,The unexpected benefit of celebrating failure | Astro Teller,2016-05-09,311887,4991,210,0 days 00:15:33
Qd5rAVHT6Vw,We can hack our immune cells to fight cancer | Elizabeth Wayne,2017-11-07,79755,2812,193,0 days 00:05:33
